[2026-09-16 12:07:35] Revenue Worker REVENUE-MAC-DBFA22 started. Target: http://127.0.0.1:8080
[2026-09-16 12:07:35] Claimed task REV-AD549EA4
[2026-09-16 12:22:09] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:09] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:14] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:14] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:19] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:19] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:24] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:24] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:29] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:29] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:34] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:34] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:39] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:39] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:44] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:44] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:49] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:49] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:54] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:54] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:59] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:22:59] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:04] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:04] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:09] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:09] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:14] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:14] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:19] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:19] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:24] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:24] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:29] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:29] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:34] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:34] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:39] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:39] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:44] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:44] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:49] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:49] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:54] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:54] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:59] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:23:59] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:24:04] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:24:04] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:24:09] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:24:09] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:24:14] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:24:14] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:24:19] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:24:19] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:24:24] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:24:24] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:24:29] HTTPError: 401 {"error":"Unauthorized"}

[2026-09-16 12:24:29] HTTPError: 401 {"error":"Unauthorized"}

